Academic Year,LEA Number,LEA Name,School Number,School Name,Assessment,Tested Count,Level 1: Did not yet meet expectations - Count,Level 1: Did not yet meet expectations - Percent,Level 2: Partially met expectations - Count,Level 2: Partially met expectations - Percent,Level 3: Approached expectations - Count,Level 3: Approached expectations - Percent,Level 4: Met expectations - Count,Level 4: Met expectations - Percent,Level 5: Exceeded expectations - Count,Level 5: Exceeded expectations - Percent,Create Date
2017,02,Anne Arundel,2152,Jones Elementary,English/Language Arts Grade 5,42,*,<= 5.0,3,7.1,6,14.3,30,71.4,*,<= 5.0,20180117
2017,02,Anne Arundel,2152,Jones Elementary,Mathematics Grade 3,58,*,<= 5.0,5,8.6,19,32.8,20,34.5,12,20.7,20180117
2017,02,Anne Arundel,2152,Jones Elementary,Mathematics Grade 4,60,*,<= 5.0,4,6.7,13,21.7,37,61.7,4,6.7,20180117
2017,02,Anne Arundel,2152,Jones Elementary,Mathematics Grade 5,42,*,<= 5.0,*,<= 5.0,12,28.6,22,52.4,5,11.9,20180117
2017,02,Anne Arundel,2162,Lake Shore Elementary,English/Language Arts Grade 3,48,4,8.3,11,22.9,9,18.8,21,43.8,3,6.3,20180117
2017,02,Anne Arundel,2162,Lake Shore Elementary,English/Language Arts Grade 4,55,*,<= 5.0,9,16.4,12,21.8,32,58.2,*,<= 5.0,20180117
2017,02,Anne Arundel,2162,Lake Shore Elementary,English/Language Arts Grade 5,48,9,18.8,16,33.3,12,25,9,18.8,*,<= 5.0,20180117
2017,02,Anne Arundel,2162,Lake Shore Elementary,Mathematics Grade 3,48,7,14.6,13,27.1,13,27.1,12,25,3,6.3,20180117
2017,02,Anne Arundel,2162,Lake Shore Elementary,Mathematics Grade 4,55,*,<= 5.0,10,18.2,17,30.9,27,49.1,*,<= 5.0,20180117
2017,02,Anne Arundel,2162,Lake Shore Elementary,Mathematics Grade 5,48,7,14.6,19,39.6,9,18.8,12,25,*,<= 5.0,20180117
2017,02,Anne Arundel,2172,Oak Hill Elementary,English/Language Arts Grade 3,109,7,6.4,13,11.9,24,22,50,45.9,15,13.8,20180117
2017,02,Anne Arundel,2172,Oak Hill Elementary,English/Language Arts Grade 4,118,*,<= 5.0,10,8.5,26,22,59,50,18,15.3,20180117
2017,02,Anne Arundel,2172,Oak Hill Elementary,English/Language Arts Grade 5,101,7,6.9,11,10.9,15,14.9,61,60.4,7,6.9,20180117
2017,02,Anne Arundel,2172,Oak Hill Elementary,Mathematics Grade 3,109,6,5.5,14,12.8,27,24.8,42,38.5,20,18.3,20180117
2017,02,Anne Arundel,2172,Oak Hill Elementary,Mathematics Grade 4,118,8,6.8,14,11.9,25,21.2,62,52.5,9,7.6,20180117
2017,02,Anne Arundel,2172,Oak Hill Elementary,Mathematics Grade 5,102,*,<= 5.0,15,14.7,25,24.5,46,45.1,14,13.7,20180117
2017,02,Anne Arundel,2182,Pasadena Elementary,English/Language Arts Grade 3,62,*,<= 5.0,4,6.5,12,19.4,36,58.1,7,11.3,20180117
