Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
RIO,Rio Tinto Plc Common Stock,$65.88,0.34,0.519%,106666300292.00,Australia,2002,3567029,Basic Industries,Steel/Iron Ore
RKDA,Arcadia Biosciences Inc. Common Stock,$1.91,-0.14,-6.829%,42351672.00,United States,2015,325924,Basic Industries,Agricultural Chemicals
RPM,RPM International Inc. Common Stock,$88.54,0.73,0.831%,11485028609.00,United States,,1090973,Basic Industries,Paints/Coatings
RS,Reliance Steel & Aluminum Co. Common Stock (DE),$149.29,0.93,0.627%,9477406331.00,United States,1994,210890,Basic Industries,Steel/Iron Ore
RYAM,Rayonier Advanced Materials Inc. Common Stock,$7.43,-0.02,-0.268%,473568533.00,United States,2014,265832,Basic Industries,Industrial Specialties
SBSW,D/B/A Sibanye-Stillwater Limited ADS,$14.46,0.06,0.417%,10411336922.00,,,2453064,Basic Industries,Precious Metals
SCCO,Southern Copper Corporation Common Stock,$64.14,-0.21,-0.326%,49585432594.00,United States,,1003810,Basic Industries,Precious Metals
SCHN,Schnitzer Steel Industries Inc. Class A Common Stock,$55.04,2.15,4.065%,1514898394.00,United States,1993,311664,Basic Industries,Steel/Iron Ore
SCL,Stepan Company Common Stock,$120.53,-0.93,-0.766%,2707810226.00,United States,,55526,Basic Industries,Specialty Chemicals
SEE,Sealed Air Corporation Common Stock,$59.36,0.14,0.236%,8897638092.00,United States,,576769,Basic Industries,Containers/Packaging
SGBX,SG Blocks Inc. Common Stock,$4.80,1.43,42.433%,42347947.00,United States,2017,6349273,Basic Industries,Metal Fabrications
SHI,SINOPEC Shangai Petrochemical Company Ltd. Common Stock,$23.80,-0.93,-3.761%,2576067613.00,China,,196442,Basic Industries,Major Chemicals
SHW,Sherwin-Williams Company (The) Common Stock,$306.62,-0.16,-0.052%,80733797526.00,United States,,653605,Basic Industries,Paints/Coatings
SID,Companhia Siderurgica Nacional S.A. Common Stock,$4.46,0.04,0.905%,6155310880.00,Brazil,,6102675,Basic Industries,Steel/Iron Ore
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$24.00,1.65,7.383%,3702235776.00,Mexico,1993,306,Basic Industries,Steel/Iron Ore
SKY,Skyline Champion Corporation Common Stock,$63.40,-0.41,-0.643%,3598420238.00,United States,,197861,Basic Industries,Homebuilding
SMG,Scotts Miracle-Gro Company (The) Common Stock,$147.34,-0.55,-0.372%,8221757354.00,United States,1992,227703,Basic Industries,Agricultural Chemicals
SNES,SenesTech Inc. Common Stock,$1.4812,-0.0288,-1.907%,18057475.00,United States,2016,31847,Basic Industries,Multi-Sector Companies
SON,Sonoco Products Company Common Stock,$59.53,-0.04,-0.067%,5853280880.00,United States,,825233,Basic Industries,Containers/Packaging
SQM,Sociedad Quimica y Minera S.A. Common Stock,$52.41,-1.01,-1.891%,14970311479.00,Chile,1993,1482999,Basic Industries,Agricultural Chemicals
STLD,Steel Dynamics Inc.,$63.50,0.43,0.682%,12961231571.00,United States,1996,1396982,Basic Industries,Steel/Iron Ore
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),$9.30,0.57,6.529%,12547760694.00,,2018,1742615,Basic Industries,Paper
SWIR,Sierra Wireless Inc. Common Stock,$16.36,-0.18,-1.088%,608462478.00,Canada,,123694,Basic Industries,Metal Fabrications
SWM,Schweitzer-Mauduit International Inc. Common Stock,$36.08,0.43,1.206%,1134987213.00,United States,,119773,Basic Industries,Paper
SXT,Sensient Technologies Corporation Common Stock,$96.00,-0.54,-0.559%,4046988768.00,United States,,160083,Basic Industries,Major Chemicals
SYNL,Synalloy Corporation Common Stock,$10.94,-0.04,-0.364%,101401263.00,United States,,4872,Basic Industries,Steel/Iron Ore
SYTA,Siyata Mobile Inc. Common Shares,$2.65,-0.25,-8.621%,12762906.00,Canada,2020,276297,Basic Industries,Metal Fabrications
SYTAW,Siyata Mobile Inc. Warrant,$0.95,-0.20,-17.391%,0.00,Canada,2020,550134,Basic Industries,Metal Fabrications
TG,Tredegar Corporation Common Stock,$12.57,-0.24,-1.874%,423952375.00,United States,,58613,Basic Industries,Specialty Chemicals
TMST,TimkenSteel Corporation Common Shares,$12.88,0.09,0.704%,594761692.00,United States,2014,400911,Basic Industries,Steel/Iron Ore
TROX,Tronox Holdings plc Ordinary Shares (UK),$25.85,0.25,0.977%,3971685897.00,United States,,1404627,Basic Industries,Multi-Sector Companies
TS,Tenaris S.A. American Depositary Shares,$23.06,-0.02,-0.087%,13611591610.00,Luxembourg,,3506620,Basic Industries,Steel/Iron Ore
